,location,total_sqft,bath,price,bhk
0,1st Block Jayanagar,2450.0,4.0,368.0,4
1,1st Block Jayanagar,1630.0,3.0,194.0,3
2,1st Block Jayanagar,1235.0,2.0,148.0,2
3,1st Block Jayanagar,1875.0,2.0,235.0,3
4,1st Block Jayanagar,2400.0,4.0,450.0,4
5,1st Block Jayanagar,2850.0,4.0,428.0,4
6,1st Block Jayanagar,2750.0,4.0,413.0,4
7,1st Block Jayanagar,1200.0,2.0,130.0,3
8,1st Block Jayanagar,1760.0,3.0,115.0,3
9,1st Block Jayanagar,1000.0,3.0,60.0,2
10,1st Phase JP Nagar,1394.0,2.0,100.0,2
11,1st Phase JP Nagar,1875.0,3.0,167.0,3
12,1st Phase JP Nagar,1180.0,2.0,88.5,2
13,1st Phase JP Nagar,1394.0,2.0,85.0,2
14,1st Phase JP Nagar,1500.0,5.0,85.0,5
15,1st Phase JP Nagar,1077.0,2.0,93.0,2
16,1st Phase JP Nagar,1205.0,2.0,85.0,2
17,1st Phase JP Nagar,1200.0,4.0,300.0,4
18,1st Phase JP Nagar,840.0,2.0,50.0,1
19,1st Phase JP Nagar,1200.0,2.0,86.0,2
20,1st Phase JP Nagar,2200.0,7.0,350.0,5
21,1st Phase JP Nagar,900.0,2.0,75.0,2
22,1st Phase JP Nagar,1900.0,3.0,400.0,4
23,1st Phase JP Nagar,2077.0,3.0,175.0,3
24,1st Phase JP Nagar,2065.0,4.0,210.0,3
25,1st Phase JP Nagar,2059.0,3.0,225.0,3
26,1st Phase JP Nagar,1590.0,3.0,131.0,3
27,1st Phase JP Nagar,1566.0,2.0,180.0,2
28,1st Phase JP Nagar,2180.0,3.0,210.0,3
29,2nd Phase Judicial Layout,1150.0,2.0,40.25,2
30,2nd Phase Judicial Layout,1681.0,3.0,69.0,3
31,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
32,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
33,2nd Phase Judicial Layout,900.0,2.0,41.0,2
34,2nd Phase Judicial Layout,1450.0,2.0,50.75,3
35,2nd Phase Judicial Layout,1150.0,2.0,40.25,2
36,2nd Phase Judicial Layout,700.0,2.0,35.0,2
37,2nd Phase Judicial Layout,525.0,1.0,26.0,1
38,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
39,2nd Phase Judicial Layout,1300.0,3.0,64.0,3
40,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4
41,2nd Stage Nagarbhavi,1500.0,3.0,230.0,4
42,2nd Stage Nagarbhavi,3000.0,3.0,170.0,4
43,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4
44,2nd Stage Nagarbhavi,3000.0,8.0,451.0,6
45,2nd Stage Nagarbhavi,1200.0,4.0,245.0,4
46,2nd Stage Nagarbhavi,2400.0,8.0,450.0,6
47,2nd Stage Nagarbhavi,1200.0,4.0,225.0,4
48,5th Block Hbr Layout,1200.0,4.0,205.0,4
49,5th Block Hbr Layout,5100.0,5.0,300.0,6
50,5th Block Hbr Layout,1206.0,2.0,56.0,2
51,5th Block Hbr Layout,1100.0,2.0,48.0,2
52,5th Block Hbr Layout,1270.0,2.0,70.0,3
53,5th Block Hbr Layout,1312.0,2.0,69.0,2
54,5th Block Hbr Layout,3600.0,5.0,130.0,5
55,5th Phase JP Nagar,1150.0,3.0,52.5,2
56,5th Phase JP Nagar,2500.0,8.0,95.0,7
57,5th Phase JP Nagar,1725.0,2.0,100.0,3
58,5th Phase JP Nagar,552.0,1.0,23.5,1
59,5th Phase JP Nagar,1256.0,2.0,62.8,2
60,5th Phase JP Nagar,812.0,2.0,42.0,2
61,5th Phase JP Nagar,1256.0,2.0,62.8,2
62,5th Phase JP Nagar,1220.0,2.0,88.0,2
63,5th Phase JP Nagar,1190.0,2.0,61.8,2
64,5th Phase JP Nagar,1075.0,2.0,60.0,2
65,5th Phase JP Nagar,1070.0,2.0,39.0,2
66,5th Phase JP Nagar,4000.0,5.0,170.0,5
67,5th Phase JP Nagar,1200.0,2.0,51.0,2
68,5th Phase JP Nagar,1075.0,2.0,60.0,2
69,5th Phase JP Nagar,1000.0,2.0,48.0,2
70,5th Phase JP Nagar,1080.0,2.0,53.0,2
71,5th Phase JP Nagar,1450.0,2.0,58.0,2
72,5th Phase JP Nagar,1440.0,2.0,60.0,2
73,5th Phase JP Nagar,1350.0,2.0,75.0,3
74,5th Phase JP Nagar,1207.0,2.0,63.0,2
75,5th Phase JP Nagar,600.0,1.0,30.0,1
76,5th Phase JP Nagar,1200.0,2.0,68.0,2
77,5th Phase JP Nagar,1030.0,2.0,57.0,2
78,5th Phase JP Nagar,1400.0,2.0,88.0,3
79,5th Phase JP Nagar,1390.0,2.0,65.0,2
80,5th Phase JP Nagar,2400.0,4.0,228.0,4
81,5th Phase JP Nagar,1041.0,2.0,54.0,2
82,5th Phase JP Nagar,1700.0,2.0,100.0,3
83,5th Phase JP Nagar,1010.0,2.0,57.0,2
84,5th Phase JP Nagar,2500.0,5.0,110.0,5
85,6th Phase JP Nagar,750.0,1.0,105.0,1
86,6th Phase JP Nagar,1213.0,2.0,63.0,2
87,6th Phase JP Nagar,3245.0,4.0,250.0,4
88,6th Phase JP Nagar,2040.0,3.0,200.0,3
89,6th Phase JP Nagar,1216.0,2.0,60.0,2
90,6th Phase JP Nagar,1180.0,2.0,80.0,2
91,6th Phase JP Nagar,1280.0,2.0,88.0,2
92,6th Phase JP Nagar,1810.0,3.0,131.0,3
93,6th Phase JP Nagar,1140.0,2.0,65.0,2
94,6th Phase JP Nagar,1280.0,2.0,56.0,2
95,6th Phase JP Nagar,2003.0,3.0,200.0,3
96,6th Phase JP Nagar,1170.0,2.0,120.0,2
97,6th Phase JP Nagar,1515.0,2.0,135.0,3
98,6th Phase JP Nagar,1192.0,2.0,74.0,2
99,6th Phase JP Nagar,1192.0,2.0,75.0,2
100,6th Phase JP Nagar,1460.0,2.0,80.0,2
101,6th Phase JP Nagar,600.0,1.0,75.0,1
102,7th Phase JP Nagar,1420.0,2.0,100.0,3
103,7th Phase JP Nagar,1675.0,2.0,135.0,3
104,7th Phase JP Nagar,1040.0,2.0,39.52,2
105,7th Phase JP Nagar,1850.0,3.0,140.0,3
106,7th Phase JP Nagar,1450.0,2.0,102.0,3
107,7th Phase JP Nagar,1575.0,2.0,110.0,3
108,7th Phase JP Nagar,1850.0,3.0,150.0,3
109,7th Phase JP Nagar,1270.0,2.0,93.0,2
110,7th Phase JP Nagar,1976.0,3.0,145.0,3
111,7th Phase JP Nagar,1765.0,3.0,118.0,3
112,7th Phase JP Nagar,3200.0,4.0,350.0,4
113,7th Phase JP Nagar,1175.0,2.0,82.0,2
114,7th Phase JP Nagar,1460.0,2.0,97.0,3
115,7th Phase JP Nagar,1075.0,2.0,42.99,2
116,7th Phase JP Nagar,1850.0,3.0,150.0,3
117,7th Phase JP Nagar,1275.0,2.0,88.0,3
118,7th Phase JP Nagar,2100.0,3.0,200.0,3
119,7th Phase JP Nagar,1100.0,2.0,44.0,2
120,7th Phase JP Nagar,1180.0,2.0,72.0,2
121,7th Phase JP Nagar,750.0,1.0,47.0,1
122,7th Phase JP Nagar,1070.0,2.0,42.0,2
123,7th Phase JP Nagar,1680.0,3.0,125.0,3
124,7th Phase JP Nagar,2100.0,3.0,200.0,3
125,7th Phase JP Nagar,1187.0,2.0,59.0,2
126,7th Phase JP Nagar,1050.0,2.0,50.0,2
127,7th Phase JP Nagar,1450.0,2.0,100.0,3
128,7th Phase JP Nagar,1450.0,3.0,100.0,3
129,7th Phase JP Nagar,5080.0,7.0,450.0,6
130,7th Phase JP Nagar,1800.0,6.0,270.0,5
131,7th Phase JP Nagar,1100.0,2.0,44.0,2
132,7th Phase JP Nagar,1080.0,2.0,75.0,2
133,7th Phase JP Nagar,1500.0,5.0,220.0,4
134,7th Phase JP Nagar,1035.0,2.0,39.33,2
135,7th Phase JP Nagar,1100.0,2.0,46.0,2
136,7th Phase JP Nagar,1000.0,2.0,70.65,2
137,7th Phase JP Nagar,1430.0,2.0,102.0,3
138,7th Phase JP Nagar,1600.0,2.0,110.0,3
139,7th Phase JP Nagar,1000.0,2.0,61.0,2
140,7th Phase JP Nagar,1050.0,2.0,42.0,2
141,7th Phase JP Nagar,1175.0,2.0,82.5,2
142,7th Phase JP Nagar,3600.0,3.0,410.0,4
143,7th Phase JP Nagar,918.0,2.0,50.49,2
144,7th Phase JP Nagar,1245.0,2.0,94.0,2
145,7th Phase JP Nagar,1270.0,2.0,83.0,2
146,7th Phase JP Nagar,1850.0,3.0,155.0,3
147,7th Phase JP Nagar,1100.0,2.0,44.0,2
148,7th Phase JP Nagar,1035.0,2.0,39.33,2
149,7th Phase JP Nagar,1050.0,2.0,71.0,2
150,7th Phase JP Nagar,1040.0,2.0,41.59,2
151,7th Phase JP Nagar,1212.0,3.0,42.0,2
152,7th Phase JP Nagar,1128.0,2.0,60.0,2
153,7th Phase JP Nagar,1000.0,1.0,60.0,1
154,7th Phase JP Nagar,1200.0,2.0,62.5,2
155,7th Phase JP Nagar,1050.0,2.0,42.0,2
156,7th Phase JP Nagar,1140.0,2.0,57.0,2
157,7th Phase JP Nagar,2200.0,3.0,190.0,3
158,7th Phase JP Nagar,2100.0,3.0,190.0,3
159,7th Phase JP Nagar,1035.0,2.0,41.39,2
160,7th Phase JP Nagar,1680.0,3.0,120.0,3
161,7th Phase JP Nagar,990.0,2.0,50.0,2
162,7th Phase JP Nagar,500.0,1.0,70.0,1
163,7th Phase JP Nagar,4800.0,7.0,170.0,7
164,7th Phase JP Nagar,1215.0,2.0,90.0,2
165,7th Phase JP Nagar,1040.0,2.0,75.0,2
166,7th Phase JP Nagar,1070.0,2.0,42.79,2
167,7th Phase JP Nagar,1050.0,2.0,75.0,2
168,7th Phase JP Nagar,1070.0,2.0,42.79,2
169,7th Phase JP Nagar,2503.0,4.0,188.0,4
170,7th Phase JP Nagar,1400.0,3.0,115.0,3
171,7th Phase JP Nagar,1236.0,2.0,61.33,2
172,7th Phase JP Nagar,1130.0,2.0,85.0,2
173,7th Phase JP Nagar,1174.0,2.0,47.0,2
174,7th Phase JP Nagar,1460.0,2.0,100.0,3
175,7th Phase JP Nagar,1680.0,3.0,122.0,3
176,7th Phase JP Nagar,1850.0,3.0,150.0,3
177,7th Phase JP Nagar,1200.0,2.0,200.0,2
178,7th Phase JP Nagar,1650.0,3.0,110.0,3
179,7th Phase JP Nagar,1050.0,2.0,68.0,2
180,7th Phase JP Nagar,3600.0,4.0,400.0,4
181,7th Phase JP Nagar,1000.0,2.0,38.0,2
182,7th Phase JP Nagar,1035.0,2.0,39.33,2
183,7th Phase JP Nagar,1530.0,2.0,108.0,2
184,7th Phase JP Nagar,1000.0,2.0,60.0,2
185,7th Phase JP Nagar,1050.0,2.0,75.0,2
186,7th Phase JP Nagar,1800.0,3.0,130.0,3
187,7th Phase JP Nagar,1680.0,3.0,130.0,3
188,7th Phase JP Nagar,1680.0,3.0,125.0,3
189,7th Phase JP Nagar,980.0,2.0,69.0,2
190,7th Phase JP Nagar,1650.0,3.0,110.0,3
191,7th Phase JP Nagar,850.0,2.0,42.0,2
192,7th Phase JP Nagar,1420.0,3.0,90.0,3
193,7th Phase JP Nagar,1575.0,2.0,120.0,3
194,7th Phase JP Nagar,1680.0,3.0,117.0,3
195,7th Phase JP Nagar,1400.0,2.0,95.0,3
196,7th Phase JP Nagar,1050.0,2.0,77.47,2
197,7th Phase JP Nagar,1270.0,2.0,80.0,2
198,7th Phase JP Nagar,980.0,2.0,86.0,2
199,7th Phase JP Nagar,2225.0,3.0,160.0,3
200,7th Phase JP Nagar,1680.0,3.0,125.0,3
201,7th Phase JP Nagar,1680.0,3.0,112.0,3
202,7th Phase JP Nagar,1100.0,3.0,60.0,2
203,7th Phase JP Nagar,1120.0,2.0,65.0,2
204,7th Phase JP Nagar,1575.0,2.0,110.0,3
205,7th Phase JP Nagar,1790.0,3.0,120.0,3
206,7th Phase JP Nagar,2095.0,3.0,150.0,3
207,7th Phase JP Nagar,1370.0,2.0,56.17,2
208,7th Phase JP Nagar,1400.0,2.0,95.0,3
209,7th Phase JP Nagar,1500.0,3.0,170.0,3
210,7th Phase JP Nagar,980.0,2.0,77.44,2
211,7th Phase JP Nagar,1050.0,2.0,42.0,2
212,7th Phase JP Nagar,1000.0,2.0,53.0,2
213,7th Phase JP Nagar,1680.0,3.0,117.0,3
214,7th Phase JP Nagar,2980.0,4.0,260.0,3
215,7th Phase JP Nagar,1130.0,2.0,73.0,2
216,7th Phase JP Nagar,1190.0,2.0,49.98,2
217,7th Phase JP Nagar,1420.0,2.0,96.0,3
218,7th Phase JP Nagar,1680.0,3.0,120.0,3
219,7th Phase JP Nagar,1080.0,2.0,72.0,2
220,7th Phase JP Nagar,1050.0,2.0,77.0,2
221,7th Phase JP Nagar,1275.0,2.0,87.0,2
222,7th Phase JP Nagar,1300.0,3.0,89.13,3
223,8th Phase JP Nagar,1160.0,2.0,95.0,2
